# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: Bahia.ba
# Propriedade: Bahia.ba – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20251231
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/politica/presidente-da-camara-oficializa-afastamento-de-eduardo-bolsonaro-e-convoca-suplente/,1681,1466,1.1466575716234653,77.58663028649386,5757,0,0
/entretenimento/avo-de-preta-gil-faleceu-enquanto-artista-se-apresentava-no-bbb/,1680,1551,1.0831721470019342,41.504190844616375,6153,0,0
/municipios/mp-ba-abre-inquerito-civil-para-investigar-irregularidades-em-concurso-publico-da-cidade/,1679,1195,1.405020920502092,36.47866108786611,5310,0,0
/esporte/vitoria-anuncia-ingressos-esgotados-para-o-ba-vi-deste-domingo-23/,1673,1385,1.207942238267148,20.131407942238265,5277,0,0
/salvador/carro-do-google-mostra-momento-em-que-e-cercado-por-homens-armados-no-nordeste-de-amaralina/,1671,1357,1.2313927781871776,21.42593957258659,6072,0,0
/salvador/confira-como-funcionarao-os-mercados-de-salvador-no-feriado-da-consciencia-negra/,1670,1397,1.1954187544738726,46.169649248389405,6311,0,0
/politica/jeronimo-rebate-criticas-de-acm-sobre-inflacao-de-alimentos-na-bahia-nao-controlamos/,1654,1302,1.2703533026113671,87.00384024577573,5060,0,0
/salvador/itau-encerra-agencia-em-paripe-e-transfere-24-mil-clientes/,1622,1293,1.254447022428461,58.39288476411446,5855,0,0
/mundo/lula-lamenta-morte-de-papa-francisco-e-decreta-luto-de-sete-dias/,1619,1465,1.1051194539249147,9.016382252559726,4835,0,0
/esporte/bahia-avalia-abrir-novo-bar-e-ate-barbearia-para-torcedores/,1618,1314,1.2313546423135464,60.615677321156774,5571,0,0
/salvador/pane-no-metro-lota-estacoes-e-causa-transtornos-em-salvador/,1609,1294,1.2434312210200926,43.76197836166924,5143,0,0
/carnaval/secretario-fala-sobre-seguranca-no-carnaval-de-salvador-com-a-participacao-de-oruam/,1596,1327,1.2027128862094951,67.56066314996232,5162,0,0
/justica/bispo-bruno-leonardo-se-pronuncia-apos-ser-mencionado-em-operacao-da-pf/,1592,1343,1.1854058078927774,62.28592702903946,5269,0,0
/social/venda-de-ilhas-e-jatinhos-a-realidade-de-familias-gerenciadas-em-salvador/,1586,1371,1.1568198395331875,62.89861415025529,5301,0,0
/entretenimento/thiago-mastroianni-retorna-a-tv-bahia-apos-irregularidades-em-demissao/,1582,1271,1.2446892210857592,70.69472856018882,4779,0,0
/bahia/governo-da-bahia-barra-empresa-paulista-que-extraia-quartzito-em-paramirim/,1572,1216,1.292763157894737,68.015625,4838,0,0
/politica/bolsonaro-devera-ser-julgado-pela-primeira-turma-do-stf-por-tentativa-de-golpe-de-estado/,1568,1439,1.0896455872133426,60.76650451702571,5379,0,0
/salvador/teste-alerta-da-defesa-civil-assusta-a-populacao-e-viraliza-nas-redes-sociais-veja/,1541,1265,1.2181818181818183,33.95810276679842,5039,0,0
/bahia/sec-convoca-144-tecnicos-para-funcao-de-mediador-do-emitec/,1522,1059,1.437204910292729,47.285174693106704,4675,0,0
/entretenimento/reporter-da-record-bahia-e-demitida-saiba-detalhes/,1518,1251,1.2134292565947242,45.828137490008,5836,0,0
/politica/caetano-diz-que-jeronimo-e-forte-em-brasilia-para-dialogar-com-lula/,1493,1166,1.2804459691252144,84.26415094339623,4719,0,0
/salvador/salvador-pode-ganhar-totens-informativos-nos-terminais-de-onibus-e-metro-entenda/,1475,1219,1.2100082034454471,44.686628383921246,4927,0,0
/politica/primo-de-nikolas-ferreira-e-preso-pela-pf-por-suspeita-de-trafico-de-drogas/,1472,1183,1.2442941673710906,32.04649196956889,4881,0,0
/esporte/bahia-pode-faturar-mais-de-r-2-milhoes-com-transferencia-de-anderson-talisca/,1466,1275,1.1498039215686275,39.91843137254902,5022,0,0
/bahia/quem-e-dada-lider-de-faccao-foragido-com-15-comparsas-apos-invasao-a-presidio-de-eunapolis/,1465,1217,1.2037797863599013,63.42317173377157,5150,0,0
/entretenimento/projeto-danca-crianca-encanta-teatro-jorge-amado-em-noite-historica/,1465,1109,1.321009918845807,23.488728584310188,5242,0,0
/salvador/alunas-de-direito-da-ucsal-viralizam-com-falas-racistas-e-muito-preto-na-familia-veja-o-video/,1462,1131,1.292661361626879,34.07692307692308,4350,0,0
/politica/bruno-reis-ironiza-obras-da-ponte-salvador-itaparica-vao-precisar-mergulhar-para-ver-algo/,1460,1172,1.2457337883959045,88.50170648464164,4565,0,0
/esporte/confira-as-escalacoes-do-jogo-flamengo-x-vitoria-pelo-brasileirao/,1457,1285,1.133852140077821,21.5011673151751,4993,0,0
/municipios/ex-prefeito-e-condenado-por-esquema-milionario-de-fraudes-em-licitacoes/,1444,1278,1.129890453834116,49.679186228482,4845,0,0
/municipios/justica-eleitoral-marca-audiencia-para-julgar-acao-de-investigacao-contra-prefeito-e-vice/,1444,947,1.5248152059134108,68.95564941921859,4266,0,0
/esporte/apos-grave-falha-na-defesa-bahia-perde-na-colombia-e-da-adeus-a-sula/,1431,1293,1.1067285382830627,37.89713843774169,4849,0,0
/politica/nao-acredito-mais-na-democracia-dispara-bolsonaro-sobre-inelegibilidade-ate-2030/,1422,1231,1.1551584077985377,90.03736799350122,4978,0,0
/esporte/vitoria-saf-deputado-cobra-avanco-e-revela-viagem-em-busca-de-investidor/,1418,1234,1.1491085899513775,95.00729335494327,5109,0,0
/bahia/banco-abre-vagas-com-remuneracao-que-varia-de-r-7-mil-a-r-85-mil-veja-como-se-inscrever/,1417,1276,1.1105015673981191,42.08228840125392,4851,0,0
